NancyInQueens	Antonio Cage	ACage1994@gmail.com	New York	ac1994few
LAFEgve	Jennifer Zhang	Jenniferzhang@hotmail.com	Chicago	jennzz
leleUE	Terry Smith	terrysmith@outlook.com	Austin	trsm0123
Dorisdodo	Emily White	Emilywhite2000@gmail.com	Seattle	ew99we99we
CcsS	Christophe Sridhar	chrissri1993@gmail.com	New York	cs93nyu
RTdgawe	David Possey	davidp90@outlook.com	Boston	Michael Jackson
DeadShot	Gordon Keeth	gk5027@nyu.edu	Syracuse	uga832fdsv
testuser	testuname	testemail@nyu.edu	testcity	testpsw
test1	test1	test1@gmail.com	test1	test1
test2	test2	test2@gmail.com	test2	test2
test10	test10	test10@gmail.com	New York	test10
